id,source,name,brand,img-src,latest-price,retail-price,sale,available
No.00910891,https://fptshop.com.vn/may-tinh-xach-tay/asus-gaming-rog-zephyrus-g16-ga605wi-qr090ws-ai-9-hx-370,"Laptop Asus Gaming ROG Zephyrus G16 GA605WI-QR090WS AI 9 HX 370/32GB/1TB/16"" 240Hz/GeForce RTX4070 8GB/Win11",Asus,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/rog_zephyrus_g16_2024_ga605_gray_a57801998c.png,0,0,0,False
No.00910922,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-lite-16-al16-51p-72s2-i7-1255u,"Laptop Acer Aspire Lite 16 AL16-51P-72S2 i7 1255U/16GB/512GB/16""FHD/Win11",Acer,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/acer_aspire_lite_16_al16_51p_32f7ef9aef.png,15.490.000,16.990.000,9,True
No.00910921,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-5-tiger-gaming-an515-58-5193-i5-12450h,"Laptop Acer Nitro 5 Tiger Gaming AN515-58-5193 i5 12450H/16GB/512GB/15.6""FHD/NVIDIA GeForce RTX4050 6GB/Win11",Acer,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/acer_nitro_5_tiger_an515_58_2a10078adb.png,19.990.000,26.990.000,26,True
No.00909342,https://fptshop.com.vn/may-tinh-xach-tay/hp-envy-x360-14-fa0045au-a19bmpa,"Laptop HP ENVY x360 14-fa0045AU (A19BMPA) R7-8840HS/AI/32GB/1TB/14"" 2.8K Touch/Pen/Win11",Hp,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/hp_envy_x360_14_cd9f8f8c00.png,31.490.000,35.090.000,10,True
No.00908644,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-thinkpad-x1-carbon-gen-12-ultra-7-155h-32gb,"Laptop Lenovo ThinkPad X1 Carbon Gen 12 Ultra 7155H/AI/32GB/1TB/14""WUXGA/Win 11Pro",Lenovo,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2024_5_25_638522254696784554_21kc008nvn.jpg,53.990.000,57.390.000,6,False
No.00908885,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-15-oled-a1505va-ma469w-i9-13900h,"Laptop ASUS Vivobook 15 OLED A1505VA-MA469W i9-13900H/16GB/512GB/15.6"" 2.8K/Win11",Asus,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/00908885_asus_vivobook_15_oled_a1505va_ma469w_1643be780a.png,22.490.000,24.990.000,10,True
No.00907724,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-sword-16-hx-b14vekg-039vn-i7-14700hx,"Laptop MSI Gaming Sword 16 HX B14VEKG-039VN i7-14700HX/16GB/1TB/16""FHD+/RTX4050_6GB/Win11_Balo",Msi,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2024_4_24_638495687117256500_MSI%20Gaming%20Sword%2016%20HX-1.jpg,31.990.000,34.990.000,9,True
No.00907147,https://fptshop.com.vn/may-tinh-xach-tay/macbook-air-m3-13-2024-8cpu-10gpu-8gb-512gb,Macbook Air M3 13 2024 8CPU 10GPU/8GB/512GB,Macbook,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2024_3_20_638465302276858353_macbook-air-m3-13-2024-vang-1.jpg,29.990.000,32.990.000,9,True
No.00907389,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-x360-14-ek1049tu-i5-1335u,Laptop HP Pavilion X360 14-ek1049TU i5 1335U/16GB/512GB/14'FHD Touch/Win11,Hp,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2023_2_17_638122396157317297_hp-pavilion-x360-14-ek-vang-3.jpg,0,0,0,False
No.00907388,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-x360-14-ek1047tu-i7-1355u,Laptop HP Pavilion X360 14-ek1047TU i7 1355U/16GB/512GB/14'FHD Touch/Win11,Hp,https://cdn2.fptshop.com.vn/unsafe/750x0/filters:quality(100)/2023_2_17_638122396157317297_hp-pavilion-x360-14-ek-vang-3.jpg,0,0,0,False
